"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","Fairfield County, Connecticut!!Estimate","Fairfield County, Connecticut!!Margin of Error","Bergen County, New Jersey!!Estimate","Bergen County, New Jersey!!Margin of Error","Essex County, New Jersey!!Estimate","Essex County, New Jersey!!Margin of Error","Hudson County, New Jersey!!Estimate","Hudson County, New Jersey!!Margin of Error","Middlesex County, New Jersey!!Estimate","Middlesex County, New Jersey!!Margin of Error","Union County, New Jersey!!Estimate","Union County, New Jersey!!Margin of Error","Bronx County, New York!!Estimate","Bronx County, New York!!Margin of Error","Kings County, New York!!Estimate","Kings County, New York!!Margin of Error","Nassau County, New York!!Estimate","Nassau County, New York!!Margin of Error","New York County, New York!!Estimate","New York County, New York!!Margin of Error","Queens County, New York!!Estimate","Queens County, New York!!Margin of Error","Richmond County, New York!!Estimate","Richmond County, New York!!Margin of Error","Rockland County, New York!!Estimate","Rockland County, New York!!Margin of Error","Westchester County, New York!!Estimate","Westchester County, New York!!Margin of Error"
"Total:","315,445,678","±29,025","915,636","±2,740","917,779","±2,372","768,317","±3,422","657,596","±2,125","792,058","±3,413","544,764","±1,683","1,368,556","±3,980","2,505,604","±5,761","1,326,154","±2,220","1,551,253","±6,077","2,224,687","±4,152","465,350","±1,803","314,061","±1,878","932,058","±4,048"
"    Householder lived in owner-occupied housing units","208,646,626","±519,146","623,377","±12,856","643,854","±13,534","385,685","±10,022","235,447","±11,255","517,010","±13,215","332,310","±13,054","272,515","±12,668","870,791","±20,785","1,084,786","±13,733","364,248","±16,749","1,068,302","±21,005","347,771","±8,856","213,960","±6,212","591,713","±11,277"
"    Householder lived in renter-occupied housing units","106,799,052","±517,818","292,259","±12,484","273,925","±12,972","382,632","±10,198","422,149","±10,986","275,048","±13,024","212,454","±13,082","1,096,041","±13,106","1,634,813","±21,096","241,368","±13,429","1,187,005","±16,086","1,156,385","±21,205","117,579","±8,592","100,101","±6,502","340,345","±12,001"
"    Same house 1 year ago:","273,713,856","±190,410","801,992","±9,133","844,534","±7,907","685,942","±8,835","567,691","±8,744","709,505","±8,291","494,235","±6,150","1,269,813","±10,471","2,291,237","±12,336","1,246,410","±8,338","1,344,858","±13,390","2,047,427","±11,357","436,970","±5,078","291,514","±4,413","837,563","±9,574"
"        Householder lived in owner-occupied housing units","192,274,456","±471,919","579,643","±11,746","613,695","±13,477","359,287","±9,601","219,876","±11,447","483,554","±12,675","309,793","±12,762","260,234","±11,946","831,865","±20,691","1,030,648","±15,350","341,376","±16,244","1,011,557","±21,768","333,262","±8,459","203,434","±6,620","549,524","±11,574"
"        Householder lived in renter-occupied housing units","81,439,400","±420,955","222,349","±12,332","230,839","±11,414","326,655","±12,748","347,815","±11,597","225,951","±12,471","184,442","±11,558","1,009,579","±16,285","1,459,372","±23,293","215,762","±12,615","1,003,482","±18,497","1,035,870","±22,064","103,708","±9,203","88,080","±6,522","288,039","±12,333"
"    Moved within same county:","24,162,336","±143,195","66,553","±6,960","41,713","±6,155","44,055","±6,834","51,893","±6,615","42,507","±6,234","18,166","±3,576","52,858","±8,229","135,022","±8,614","36,655","±4,475","105,461","±9,303","102,676","±8,937","15,092","±3,430","13,300","±3,653","50,489","±6,461"
"        Householder lived in owner-occupied housing units","9,093,946","±81,751","24,238","±3,299","15,627","±3,840","13,673","±3,595","10,147","±2,207","19,690","±4,198","6,377","±2,087","4,863","±1,501","27,965","±4,409","22,197","±3,965","13,790","±3,479","36,427","±4,488","6,605","±2,154","5,439","±1,789","21,298","±4,720"
"        Householder lived in renter-occupied housing units","15,068,390","±144,861","42,315","±6,654","26,086","±4,529","30,382","±5,312","41,746","±6,136","22,817","±5,031","11,789","±3,145","47,995","±8,094","107,057","±8,355","14,458","±2,899","91,671","±9,004","66,249","±7,344","8,487","±2,977","7,861","±3,454","29,191","±4,902"
"    Moved from different county within same state:","8,935,949","±80,412","5,119","±1,473","12,290","±3,179","14,304","±3,456","10,991","±1,923","19,393","±4,177","15,982","±3,928","28,427","±5,515","38,243","±4,050","30,543","±4,712","32,866","±4,501","40,540","±4,819","8,378","±2,819","4,304","±1,711","25,768","±4,237"
"        Householder lived in owner-occupied housing units","3,958,502","±52,975","2,179","±960","3,175","±889","5,171","±1,866","1,453","±624","7,378","±2,701","9,471","±3,406","4,429","±1,533","5,525","±1,629","23,787","±3,955","4,880","±1,969","11,907","±1,937","5,975","±2,390","1,678","±1,067","15,126","±3,146"
"        Householder lived in renter-occupied housing units","4,977,447","±66,675","2,940","±986","9,115","±3,001","9,133","±2,671","9,538","±1,804","12,015","±3,752","6,511","±1,993","23,998","±5,253","32,718","±3,425","6,756","±2,509","27,986","±3,809","28,633","±4,018","2,403","±1,414","2,626","±1,556","10,642","±2,637"
"    Moved from different state:","6,818,276","±77,302","29,775","±4,351","13,741","±3,428","15,949","±3,778","18,751","±3,086","13,585","±2,730","11,362","±2,727","8,104","±2,148","22,191","±2,933","7,416","±1,835","43,915","±4,409","14,738","±3,251","3,587","±1,748","3,062","±1,028","9,761","±2,317"
"        Householder lived in owner-occupied housing units","2,696,646","±44,611","13,700","±2,950","9,207","±3,091","4,434","±1,405","3,580","±918","4,364","±1,392","5,541","±2,161","1,704","±847","2,729","±698","4,944","±1,619","2,900","±1,130","3,249","±1,033","1,206","±660","1,819","±839","3,805","±1,322"
"        Householder lived in renter-occupied housing units","4,121,630","±59,347","16,075","±3,577","4,534","±1,398","11,515","±3,067","15,171","±2,919","9,221","±2,451","5,821","±1,903","6,400","±1,997","19,462","±2,843","2,472","±1,080","41,015","±4,269","11,489","±3,138","2,381","±1,630","1,243","±596","5,956","±2,144"
"    Moved from abroad:","1,815,261","±40,167","12,197","±2,626","5,501","±1,848","8,067","±2,160","8,270","±1,986","7,068","±2,036","5,019","±1,837","9,354","±2,523","18,911","±3,044","5,130","±1,307","24,153","±4,884","19,306","±3,039","1,323","±699","1,881","±1,523","8,477","±2,832"
"        Householder lived in owner-occupied housing units","623,076","±17,763","3,617","±1,066","2,150","±1,079","3,120","±1,333","391","±255","2,024","±809","1,128","±858","1,285","±753","2,707","±778","3,210","±1,039","1,302","±648","5,162","±1,401","723","±413","1,590","±1,521","1,960","±837"
"        Householder lived in renter-occupied housing units","1,192,185","±38,791","8,580","±2,396","3,351","±1,609","4,947","±1,745","7,879","±2,014","5,044","±1,845","3,891","±1,739","8,069","±2,334","16,204","±2,936","1,920","±970","22,851","±4,848","14,144","±2,840","600","±568","291","±311","6,517","±2,640"
