Label (Grouping),United States!!Estimate,United States!!Margin of Error,"Fairfield County, Connecticut!!Estimate","Fairfield County, Connecticut!!Margin of Error","Bergen County, New Jersey!!Estimate","Bergen County, New Jersey!!Margin of Error","Essex County, New Jersey!!Estimate","Essex County, New Jersey!!Margin of Error","Hudson County, New Jersey!!Estimate","Hudson County, New Jersey!!Margin of Error","Middlesex County, New Jersey!!Estimate","Middlesex County, New Jersey!!Margin of Error","Union County, New Jersey!!Estimate","Union County, New Jersey!!Margin of Error","Bronx County, New York!!Estimate","Bronx County, New York!!Margin of Error","Kings County, New York!!Estimate","Kings County, New York!!Margin of Error","Nassau County, New York!!Estimate","Nassau County, New York!!Margin of Error","New York County, New York!!Estimate","New York County, New York!!Margin of Error","Queens County, New York!!Estimate","Queens County, New York!!Margin of Error","Richmond County, New York!!Estimate","Richmond County, New York!!Margin of Error","Rockland County, New York!!Estimate","Rockland County, New York!!Margin of Error","Westchester County, New York!!Estimate","Westchester County, New York!!Margin of Error"
Total:,"321,671,106","±31,186",,,"934,984","±1,369","823,602","±2,267","686,192","±1,807","828,847","±1,761","557,865","±1,651","1,313,551","±4,095","2,514,880","±3,685","1,350,776","±2,001","1,506,530","±3,208","2,223,884","±3,039","478,294","±1,401","327,298","±1,021","953,352","±2,358"
    Householder lived in owner-occupied housing units,"220,225,476","±513,960",,,"655,957","±12,430","418,761","±14,225","237,082","±14,107","565,232","±13,767","342,245","±11,851","294,217","±14,999","817,065","±26,731","1,140,938","±12,694","389,489","±17,510","1,073,536","±21,549","348,243","±7,966","222,339","±7,287","633,969","±12,307"
    Householder lived in renter-occupied housing units,"101,445,630","±516,137",,,"279,027","±12,106","404,841","±14,171","449,110","±14,355","263,615","±13,602","215,620","±12,069","1,019,334","±14,750","1,697,815","±26,916","209,838","±12,428","1,117,041","±17,770","1,150,348","±21,076","130,051","±8,045","104,959","±7,321","319,383","±12,170"
    Same house 1 year ago:,"283,805,554","±191,184",,,"846,403","±8,397","746,011","±10,066","597,251","±7,988","754,170","±7,720","501,089","±7,440","1,229,099","±9,973","2,257,514","±15,419","1,249,946","±8,962","1,272,590","±14,562","2,056,409","±13,765","452,163","±4,954","304,663","±4,908","864,830","±9,832"
        Householder lived in owner-occupied housing units,"203,430,261","±485,647",,,"614,381","±13,085","391,298","±14,714","218,652","±13,893","534,370","±12,834","316,041","±11,467","278,170","±14,635","760,279","±26,122","1,065,952","±15,301","360,075","±18,586","1,022,544","±22,687","330,827","±7,837","209,785","±7,827","589,140","±12,384"
        Householder lived in renter-occupied housing units,"80,375,293","±424,175",,,"232,022","±12,205","354,713","±14,751","378,599","±14,684","219,800","±13,649","185,048","±11,128","950,929","±16,966","1,497,235","±29,397","183,994","±12,991","912,515","±22,919","1,033,865","±21,441","121,336","±8,541","94,878","±7,291","275,690","±12,446"
    Moved within same county:,"19,343,985","±139,578",,,"44,438","±5,916","32,851","±7,484","36,851","±5,409","34,328","±5,660","26,350","±5,172","56,957","±7,942","136,245","±10,125","45,702","±5,864","112,054","±13,026","102,818","±10,764","9,232","±2,376","10,415","±3,311","43,883","±6,577"
        Householder lived in owner-occupied housing units,"8,231,024","±89,797",,,"19,325","±3,583","6,638","±2,162","9,505","±3,009","15,124","±4,382","9,567","±3,279","9,763","±2,800","35,009","±5,761","29,761","±4,782","17,010","±4,620","34,483","±5,758","4,440","±1,502","5,089","±2,348","21,365","±4,854"
        Householder lived in renter-occupied housing units,"11,112,961","±132,702",,,"25,113","±4,926","26,213","±6,944","27,346","±4,402","19,204","±3,953","16,783","±4,483","47,194","±7,581","101,236","±9,096","15,941","±4,142","95,044","±11,935","68,335","±8,639","4,792","±1,921","5,326","±2,478","22,518","±4,920"
    Moved from different county within same state:,"9,066,985","±93,763",,,"14,762","±3,569","23,104","±5,070","14,477","±3,075","16,605","±3,134","13,585","±2,964","14,006","±3,134","56,563","±7,987","42,397","±5,648","31,314","±4,857","33,686","±4,677","12,353","±3,958","6,475","±2,121","25,774","±4,486"
